epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,20369.4,0.75244,0.88918,1.20043,0.73467,0.81554,0.82265,0.709,1.49834,1.32945,1.96223,0.003664,0.003664,0.003664
66,20700.9,0.74303,0.87013,1.19729,0.75081,0.81087,0.81704,0.69072,1.46867,1.31606,1.93399,0.003565,0.003565,0.003565
67,21019.2,0.74611,0.86484,1.19315,0.7351,0.79415,0.8184,0.69975,1.47278,1.3565,1.92974,0.003466,0.003466,0.003466
68,21351.9,0.73368,0.84927,1.19025,0.75301,0.7827,0.81718,0.70976,1.50984,1.34564,1.96082,0.003367,0.003367,0.003367
69,21663.4,0.73663,0.84024,1.1905,0.72901,0.75336,0.80931,0.69223,1.48134,1.32417,1.94367,0.003268,0.003268,0.003268
70,21994.5,0.73466,0.83067,1.18691,0.73681,0.76501,0.77199,0.6611,1.47748,1.34001,1.92523,0.003169,0.003169,0.003169
71,22306.1,0.7187,0.82768,1.18607,0.68826,0.791,0.76323,0.64683,1.46965,1.29627,1.91935,0.00307,0.00307,0.00307
72,22639.7,0.72428,0.82722,1.18138,0.72806,0.73868,0.78537,0.65497,1.44498,1.29473,1.87951,0.002971,0.002971,0.002971
73,22951.5,0.71824,0.81391,1.17965,0.72637,0.75553,0.80868,0.68097,1.47183,1.25328,1.92319,0.002872,0.002872,0.002872
74,23281,0.71109,0.80341,1.16916,0.7142,0.80233,0.79409,0.66831,1.46394,1.27445,1.91926,0.002773,0.002773,0.002773
75,23591.6,0.71035,0.8026,1.17449,0.71685,0.7611,0.78592,0.67356,1.50097,1.2933,1.97151,0.002674,0.002674,0.002674
76,23919.3,0.71515,0.80059,1.17869,0.76321,0.74715,0.80927,0.69376,1.51003,1.33657,1.96191,0.002575,0.002575,0.002575
77,24230.3,0.7001,0.77488,1.16571,0.77088,0.78945,0.82108,0.70134,1.49256,1.3275,1.94151,0.002476,0.002476,0.002476
